10/05/2006-15:00:00 12.879 2.11 51.474 409.762 304.535 0
10/05/2006-16:00:00 12.575 2.11 50.43 146.556 302.414 0
10/05/2006-17:00:00 12.575 2.11 50.43 146.556 302.414 0
10/05/2006-18:00:00 12.575 2.11 50.43 146.556 302.414 0
10/05/2006-19:00:00 9.963 2.11 57.494 0 290.856 0
10/05/2006-20:00:00 9.963 2.11 57.494 0 290.856 0
10/05/2006-21:00:00 9.963 2.11 57.494 0 290.856 0
10/05/2006-22:00:00 6.343 2.11 70.385 0 275.69 0
10/05/2006-23:00:00 6.343 2.11 70.385 0 275.69 0
10/05/2006-24:00:00 6.343 2.11 70.385 0 275.69 0
10/06/2006-01:00:00 2.924 1.72 85.4 0 284.209 0
10/06/2006-02:00:00 2.924 1.72 85.4 0 284.209 0
10/06/2006-03:00:00 2.924 1.72 85.4 0 284.209 0
10/06/2006-04:00:00 0.918 1.72 93.954 0 275.594 0
10/06/2006-05:00:00 0.918 1.72 93.954 0 275.594 0
10/06/2006-06:00:00 0.918 1.72 93.954 0 275.594 0
10/06/2006-07:00:00 1.502 1.72 88.819 86.195 277.779 0.0015597
10/06/2006-08:00:00 1.502 1.72 88.819 86.195 277.779 0.018152
10/06/2006-09:00:00 1.502 1.72 88.819 86.195 277.779 0.086855
10/06/2006-10:00:00 4.153 1.72 73.845 270.797 288.594 0.27016
10/06/2006-11:00:00 4.153 1.72 73.845 270.797 288.594 0.051713
10/06/2006-12:00:00 4.153 1.72 73.845 270.797 288.594 0.0067557
10/06/2006-13:00:00 6.358 1.72 63.569 276.26 297.835 0.00017446
10/06/2006-14:00:00 6.358 1.72 63.569 276.26 297.835 0.003589
10/06/2006-15:00:00 6.358 1.72 63.569 276.26 297.835 0.032814
10/06/2006-16:00:00 6.387 1.72 63.677 97.113 298.002 0.0013337
10/06/2006-17:00:00 6.387 1.72 63.677 97.113 298.002 0.001057
10/06/2006-18:00:00 6.387 1.72 63.677 97.113 298.002 0
10/06/2006-19:00:00 5.288 1.72 68.976 0 293.425 0
10/06/2006-20:00:00 5.288 1.72 68.976 0 293.425 0
10/06/2006-21:00:00 5.288 1.72 68.976 0 293.425 0
10/06/2006-22:00:00 3.763 1.72 77.038 0 287.153 0
10/06/2006-23:00:00 3.763 1.72 77.038 0 287.153 0
10/06/2006-24:00:00 3.763 1.72 77.038 0 287.153 0
10/07/2006-01:00:00 2.323 2.52 85.636 0 256.924 0
10/07/2006-02:00:00 2.323 2.52 85.636 0 256.924 0
10/07/2006-03:00:00 2.323 2.52 85.636 0 256.924 4.9962e-08
10/07/2006-04:00:00 1.479 2.52 91.313 0 253.899 3.5297e-08
10/07/2006-05:00:00 1.479 2.52 91.313 0 253.899 3.1123e-08
10/07/2006-06:00:00 1.479 2.52 91.313 0 253.899 1.0727e-10
10/07/2006-07:00:00 2.442 2.52 86.047 128.421 257.582 0
10/07/2006-08:00:00 2.442 2.52 86.047 128.421 257.582 0
10/07/2006-09:00:00 2.442 2.52 86.047 128.421 257.582 0
10/07/2006-10:00:00 5.815 2.52 68.726 410.872 270.429 0
10/07/2006-11:00:00 5.815 2.52 68.726 410.872 270.429 0
10/07/2006-12:00:00 5.815 2.52 68.726 410.872 270.429 0
10/07/2006-13:00:00 8.62 2.52 57.4 419.629 281.515 0
10/07/2006-14:00:00 8.62 2.52 57.4 419.629 281.515 0
10/07/2006-15:00:00 8.62 2.52 57.4 419.629 281.515 0
10/07/2006-16:00:00 8.683 2.52 57.85 145.693 281.988 0
10/07/2006-17:00:00 8.683 2.52 57.85 145.693 281.988 0
10/07/2006-18:00:00 8.683 2.52 57.85 145.693 281.988 0
10/07/2006-19:00:00 7.381 2.52 63.974 0 277.118 0
10/07/2006-20:00:00 7.381 2.52 63.974 0 277.118 0
10/07/2006-21:00:00 7.381 2.52 63.974 0 277.118 0
10/07/2006-22:00:00 5.575 2.52 73.317 0 270.384 0
10/07/2006-23:00:00 5.575 2.52 73.317 0 270.384 0
